"69.90","25","180"
"70.00","0","180"
"70.10","0","180"
"70.20","0","180"
"70.30","0","180"
"70.40","0","180"
"70.50","0","180"
"70.60","0","180"
"70.70","0","180"
"70.80","0","180"
"70.90","0","180"
"71.00","0","180"
"71.10","0","180"
"71.20","0","180"
"71.30","0","180"
"71.40","0","180"
"71.50","0","180"
"71.60","0","180"
"71.70","0","180"
"71.80","0","180"
"71.90","0","180"
"72.00","0","180"
"72.10","0","180"
"72.20","0","180"
"72.30","0","180"
"72.40","0","180"
"72.50","0","180"
"72.60","0","180"
"72.70","0","180"
"72.80","0","180"
"72.90","0","180"
"73.00","0","180"
"73.10","0","180"
"73.20","0","180"
"73.30","0","180"
"73.40","0","180"
"73.50","0","180"
"73.60","0","180"
"73.70","0","180"
"73.80","0","180"
"73.90","0","180"
"74.00","0","180"
"74.10","0","180"
"74.20","0","180"
"74.30","0","180"
"74.40","0","180"
"74.50","0","180"
"74.60","0","180"
"74.70","0","180"
"74.80","0","180"
"74.90","0","180"
"75.00","0","180"
"75.10","0","180"
"75.20","0","180"
"75.30","0","180"
"75.40","0","180"
"75.50","0","180"
"75.60","0","180"
"75.70","0","180"
"75.80","0","180"
"75.90","0","180"
"76.00","0","180"
"76.10","0","180"
"76.20","0","180"
"76.30","0","180"
"76.40","0","180"
"76.50","0","180"
"76.60","0","180"
"76.70","0","180"
"76.80","0","180"
"76.90","0","180"
"77.00","0","180"
"77.10","0","180"
"77.20","0","180"
"77.30","0","180"
"77.40","0","180"
"77.50","0","180"
"77.60","0","180"
"77.70","0","180"
"77.80","0","180"
"77.90","0","180"
"78.00","0","180"
"78.10","0","180"
"78.20","0","180"
"78.30","0","180"
"78.40","0","180"
"78.50","0","180"
"78.60","0","180"
"78.70","0","180"
"78.80","0","180"
"78.90","0","180"
"79.00","0","180"
"79.10","0","180"
"79.20","0","180"
"79.30","0","180"
"79.40","0","180"
"79.50","0","180"
"79.60","0","180"
"79.70","0","180"
"79.80","0","180"
"79.90","0","180"
"80.00","0","180"
"80.10","0","180"
"80.20","0","180"
"80.30","0","180"
"80.40","0","180"
"80.50","0","180"
"80.60","0","180"
"80.70","0","180"
"80.80","0","180"
"80.90","0","180"
"81.00","0","180"
"81.10","0","180"
"81.20","0","180"
"81.30","0","180"
"81.40","0","180"
"81.50","0","180"
"81.60","0","180"
"81.70","0","180"
"81.80","0","180"
"81.90","0","180"
"82.00","0","180"
"82.10","0","180"
"82.20","0","180"
"82.30","0","180"
"82.40","0","180"
"82.50","0","180"
"82.60","0","180"
"82.70","0","180"
"82.80","0","180"
"82.90","0","180"
"83.00","0","180"
"83.10","0","180"
"83.20","0","180"
"83.30","0","180"
"83.40","0","180"
"83.50","0","180"
"83.60","0","180"
"83.70","0","180"
"83.80","0","180"
"83.90","0","180"
"84.00","0","180"
"84.10","0","180"
"84.20","0","180"
"84.30","0","180"
"84.40","0","180"
"84.50","0","180"
"84.60","0","180"
"84.70","0","180"
"84.80","0","180"
"84.90","0","180"
"85.00","0","180"
"85.10","0","180"
"85.20","0","180"
"85.30","0","180"
"85.40","0","180"
"85.50","0","180"
"85.60","0","180"
"85.70","0","180"
"85.80","0","180"
"85.90","0","180"
"86.00","0","180"
"86.10","0","180"
"86.20","0","180"
"86.30","0","180"
"86.40","0","180"
"86.50","0","180"
"86.60","0","180"
"86.70","0","180"
"86.80","0","180"
"86.90","0","180"
"87.00","0","180"
